NDC Description,NDC,Old NADAC Per Unit,New NADAC Per Unit,Classification for Rate Setting,Percent Change,Primary Reason,Start Date,End Date,Effective Date
SILDENAFIL 50 MG TABLET,65862069030,0.32867,0.29731,G,-9.54,Survey Rate,05/12/2021,05/19/2021,05/01/2021
TOLTERODINE TARTRATE 2 MG TAB,59762080006,0.55468,0.51427,G,-7.29,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARBIDOPA-LEVODOPA 25-100 TAB,63739010810,0.09375,0.09648,G,2.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ETHOSUXIMIDE 250 MG/5 ML SOLN,59762235005,0.19331,0.17895,G,-7.43,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LINEZOLID 600 MG TABLET,60687030911,2.19680,2.01421,G,-8.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SIMVASTATIN 40 MG TABLET,16729000615,0.04449,0.04407,G,-0.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVOTHYROXINE 25 MCG TABLET,60687045311,0.20441,0.19586,G,-4.18,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TACROLIMUS 0.5 MG CAPSULE (IMMEDIATE RELEASE),68462068501,0.31981,0.32848,G,2.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 2 MG MINI LOZENGE,70000011701,0.35248,0.36501,G,3.55,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENTANYL 100 MCG/HR PATCH,00378912498,8.21944,9.85076,G,19.85,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CYCLOBENZAPRINE 10 MG TABLET,00591565805,0.02515,0.02697,G,7.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TADALAFIL 2.5 MG TABLET,68180091906,0.20161,0.21454,G,6.41,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LISINOPRIL 2.5 MG TABLET,76282041701,0.01709,0.01760,G,2.98,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUOCINOLONE 0.025% CREAM,00713070960,1.00858,1.08593,G,7.67,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBETASOL 0.05% OINTMENT,43386009662,0.42171,0.45732,G,8.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYBUTYNIN CL ER 15 MG TABLET,62175027241,0.27486,0.26491,G,-3.62,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ABACAVIR 300 MG TABLET,68084002121,0.75817,0.55556,G,-26.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CEFTRIAXONE 1 GM VIAL,68180063310,1.99050,2.35780,G,18.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLINDAMYCIN PH 1% GEL,73473030060,0.87766,0.85695,G,-2.36,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAZOLAM 0.25 MG TABLET,59762371809,1.31271,1.27052,G,-3.21,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NICOTINE 4 MG LOZENGE,36800087305,0.35975,0.35841,G,-0.37,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLPHENIDATE ER 36 MG TAB,62037072601,1.22450,1.55265,G,26.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUPROPION HCL SR 100 MG TABLET,43547028809,0.14389,0.13265,G,-7.81,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SILODOSIN 4 MG CAPSULE,68180074006,0.85336,1.04077,G,21.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRALUENT 150 MG/ML PEN,72733590202,216.97885,217.84727,B,0.40,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PRASUGREL 5 MG TABLET,65862082930,0.31642,0.43320,G,36.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MIRTAZAPINE 45 MG TABLET,60505024901,0.15578,0.15015,G,-3.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROCORTISONE 1% OINTMENT,51672201802,0.07383,0.07051,G,-4.50,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MIRTAZAPINE 45 MG TABLET,13107003234,0.15578,0.15015,G,-3.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OCELLA 3 MG-0.03 MG TABLET,00555913167,0.30722,0.31965,G,4.05,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HM ESOMEPRAZOLE MAG DR 20 MG,62011033203,0.33683,0.33770,G,0.26,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CALCIPOTRIENE 0.005% OINTMENT,66993087861,2.88573,2.62714,G,-8.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LITHIUM CARBONATE ER 300 MG TB,62559034001,0.16111,0.16629,G,3.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NYSTATIN-TRIAMCINOLONE CREAM,51672126301,0.66646,0.80746,G,21.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBETASOL 0.05% CREAM,68462052917,0.77305,0.74819,G,-3.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CYCLOBENZAPRINE 10 MG TABLET,52817033210,0.02515,0.02697,G,7.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DOFETILIDE 500 MCG CAPSULE,72205004160,1.11657,1.06488,G,-4.63,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ERYTHROMYCIN 2% GEL,63739005366,0.86186,1.06465,G,23.53,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LITHIUM CARBONATE ER 300 MG TB,64980020505,0.16111,0.16629,G,3.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACETAZOLAMIDE 250 MG TABLET,23155028801,0.79053,0.63350,G,-19.86,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CEPHALEXIN 250 MG/5 ML SUSP,68180044102,0.08905,0.08354,G,-6.19,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARBAMAZEPINE 100 MG TAB CHEW,51672404102,0.30214,0.29123,G,-3.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MECLIZINE 12.5 MG TABLET,70710116101,0.13778,0.12568,G,-8.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RISPERIDONE 2 MG TABLET,50268069711,0.06515,0.06993,G,7.34,Survey Rate,05/12/2021,05/19/2021,05/19/2021
AZITHROMYCIN 250 MG TABLET,50111078766,0.52040,0.50357,G,-3.23,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DIAZEPAM 5 MG TABLET,51079028501,0.02510,0.02529,G,0.76,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG TB,00093324101,0.36772,0.34055,G,-7.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PIROXICAM 20 MG CAPSULE,00093075701,0.38451,0.59047,G,53.56,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CHLORPROMAZINE 100 MG TABLET,16714005001,4.45341,4.05115,G,-9.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLARAVIS 40 MG CAPSULE,00555105786,3.08318,3.43635,G,11.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDRALAZINE 50 MG TABLET,76282031101,0.05273,0.05327,G,1.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BACLOFEN 10 MG TABLET,31722099801,0.08067,0.07572,G,-6.14,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONIDINE HCL 0.2 MG TABLET,52817018110,0.04036,0.04145,G,2.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUTICASONE PROP 0.05% CREAM,00713063131,0.30218,0.31844,G,5.38,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CIPROFLOXACIN HCL 500 MG TAB,65862007701,0.14239,0.14001,G,-1.67,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 600 MG TABLET,00228263650,0.10366,0.10759,G,3.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OLANZAPINE 15 MG TABLET,00904628661,0.15889,0.15867,G,-0.14,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MIRTAZAPINE 45 MG TABLET,57237001030,0.15578,0.15015,G,-3.61,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MYCOPHENOLIC ACID DR 180 MG TB,00904678504,0.90670,0.85500,G,-5.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GS CHILD MUCUS RLF COUGH LIQ,00113041926,0.01809,0.01828,G,1.05,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PROPRANOLOL 20 MG TABLET,00591555510,0.09772,0.09133,G,-6.54,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLPREDNISOLONE 4 MG DOSEPK,68382091634,0.20542,0.19862,G,-3.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ERYTHROMYCIN 500 MG FILMTAB,52536010503,10.18131,13.22133,G,29.86,Survey Rate,05/12/2021,05/19/2021,05/19/2021
AMOX-CLAV 200-28.5 MG/5 ML SUS,00781610246,0.06460,0.05959,G,-7.76,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENOFIBRATE 48 MG TABLET,00378306577,0.12762,0.14638,G,14.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYOSCYAMINE 0.125 MG ODT,76439030710,0.19417,0.19303,G,-0.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVALBUTEROL 1.25 MG/3 ML SOL,66993002327,0.37136,0.35742,G,-3.75,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALFUZOSIN HCL ER 10 MG TABLET,76282030290,0.14076,0.15408,G,9.46,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 300 MG CAPSULE,71093012104,0.04797,0.05179,G,7.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RECTIV 0.4% OINTMENT,58914030180,20.47945,20.51150,B,0.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TIMOLOL 0.5% GFS GEL-SOLUTION,61314022505,38.85533,38.31422,G,-1.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
IBUPROFEN JR STR 100 MG TB CHW,70000024001,0.13312,0.13405,G,0.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SERTRALINE HCL 25 MG TABLET,16729021516,0.07208,0.07032,G,-2.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONAZEPAM 2 MG TABLET,00093321305,0.03990,0.04031,G,1.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUTORPHANOL 10 MG/ML SPRAY,00378963943,14.40976,14.02387,G,-2.68,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"RANOLAZINE ER 1,000 MG TABLET",45963041906,0.63629,0.67209,G,5.63,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SM ASPIRIN 81 MG CHEWABLE TAB,70677007001,0.02588,0.02780,G,7.42,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"NYSTATIN 100,000 UNIT/GM OINT",45802004835,0.33933,0.42661,G,25.72,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SIMVASTATIN 80 MG TABLET,16729000717,0.09681,0.09484,G,-2.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL 25 MG TABLET,68382001801,0.11509,0.12865,G,11.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
EPLERENONE 25 MG TABLET,16729029315,0.97835,0.86488,G,-11.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BETAMETHASONE VALER 0.1% OINTM,00713032715,0.96627,0.78572,G,-18.69,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PROPAFENONE HCL ER 225 MG CAP,69680013060,1.90684,1.59264,G,-16.48,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLERGONOVINE 0.2 MG TABLET,69238160502,14.35073,13.46155,G,-6.20,Survey Rate,05/12/2021,05/19/2021,05/19/2021
WARFARIN SODIUM 2 MG TABLET,51672402803,0.11108,0.11036,G,-0.65,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GLIPIZIDE 5 MG TABLET,00378110505,0.03037,0.03225,G,6.19,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"RANOLAZINE ER 1,000 MG TABLET",70756070460,0.63629,0.67209,G,5.63,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LORAZEPAM 0.5 MG TABLET,69315090405,0.04127,0.04260,G,3.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLONIDINE 0.1 MG/DAY PATCH,00378087199,7.71875,7.52275,G,-2.54,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUSPIRONE HCL 15 MG TABLET,51079096020,0.06051,0.05791,G,-4.30,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALBUTEROL SUL 0.63 MG/3 ML SOL,00487030101,0.24284,0.24980,G,2.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LUTERA-28 TABLET,51862002806,0.22634,0.24462,G,8.08,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LEVETIRACETAM ER 750 MG TABLET,68001011406,0.54926,0.53954,G,-1.77,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GALANTAMINE HBR 8 MG TABLET,65862045960,0.52041,0.62945,G,20.95,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOPREEZA 0.5 MG-0.1 MG TABLET,69238125206,2.03633,2.13888,G,5.04,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PROPRANOLOL ER 120 MG CAPSULE,00527411837,0.50050,0.47457,G,-5.18,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLECAINIDE ACETATE 100 MG TAB,50268032111,0.25247,0.25995,G,2.96,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ARIPIPRAZOLE 2 MG TABLET,13668021630,0.15888,0.15864,G,-0.15,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE HCL 30 MG TABLET,42858000501,0.24666,0.25127,G,1.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PREDNISONE 20 MG TABLET,60687014501,0.11361,0.11350,G,-0.10,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LORATADINE 5 MG/5 ML SYRUP,51672208508,0.03819,0.03839,G,0.52,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METFORMIN HCL 500 MG TABLET,65862000801,0.01684,0.01721,G,2.20,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NAPROXEN SODIUM 550 MG TAB,43598049505,0.31095,0.46637,G,49.98,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PHENTERMINE 37.5 MG CAPSULE,11534015903,0.09962,0.09505,G,-4.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DOXEPIN 75 MG CAPSULE,59651017601,0.94671,0.87081,G,-8.02,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GABAPENTIN 600 MG TABLET,65862052305,0.10366,0.10759,G,3.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NIFEDIPINE ER 60 MG TABLET,24979001001,0.26225,0.27196,G,3.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOW-OGESTREL-28 TABLET,51862056401,0.45124,0.44983,G,-0.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CEFUROXIME AXETIL 250 MG TAB,68180030220,0.46284,0.45086,G,-2.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DEXTROAMP-AMPHETAMINE 5 MG TAB,68382095001,0.31901,0.32533,G,1.98,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HM NICOTINE 2 MG MINI LOZENGE,62011042901,0.35248,0.36501,G,3.55,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HYDROXYZINE HCL 25 MG TABLET,10702001110,0.07488,0.07783,G,3.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ASENAPINE 10 MG TABLET SL,42794001710,5.77659,4.32595,G,-25.11,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SUMATRIPTAN SUCC 100 MG TABLET,00378563259,0.58373,0.60106,G,2.97,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUOXETINE HCL 20 MG TABLET,00093080701,0.28191,0.35037,G,24.28,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OXYCODONE HCL 30 MG TABLET,10702000950,0.24666,0.25127,G,1.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBETASOL 0.05% OINTMENT,21922001707,0.42171,0.45732,G,8.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ATORVASTATIN 80 MG TABLET,67877051490,0.10185,0.10449,G,2.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUDESONIDE ER 9 MG TABLET,00378450093,29.52792,32.16551,G,8.93,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ZIPRASIDONE HCL 60 MG CAPSULE,68001013806,0.36074,0.37476,G,3.89,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METHYLPREDNISOLONE 4 MG TABLET,68382091601,0.24441,0.21867,G,-10.53,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VENLAFAXINE HCL ER 37.5 MG CAP,13668001830,0.13352,0.12937,G,-3.11,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ESOMEPRAZOLE MAG DR 40 MG CAP,43598051010,0.24606,0.24186,G,-1.71,Survey Rate,05/12/2021,05/19/2021,05/19/2021
"METFORMIN HCL 1,000 MG TABLET",42806031505,0.02813,0.02869,G,1.99,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RAMIPRIL 10 MG CAPSULE,68001043100,0.07113,0.07317,G,2.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUSPIRONE HCL 5 MG TABLET,42806066201,0.02823,0.02902,G,2.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MIDODRINE HCL 5 MG TABLET,51079045320,0.32954,0.34582,G,4.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PAROXETINE HCL 20 MG TABLET,13107015599,0.08262,0.08499,G,2.87,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROSUVASTATIN CALCIUM 40 MG TAB,31722088530,0.13325,0.13547,G,1.67,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SENNA LAXATIVE 8.6 MG TABLET,70000044703,0.01839,0.02081,G,13.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACYCLOVIR 5% OINTMENT,35573040331,1.64706,0.89720,G,-45.53,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DALFAMPRIDINE ER 10 MG TABLET,00378050991,0.97827,1.28181,G,31.03,Survey Rate,05/12/2021,05/19/2021,05/19/2021
KAITLIB FE 0.8-0.025 MG CHEW TB,68180090313,2.24921,1.69435,G,-24.67,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OSELTAMIVIR 6 MG/ML SUSPENSION,68180067801,0.47650,0.39664,G,-16.76,Survey Rate,05/12/2021,05/19/2021,05/19/2021
WOMEN'S LAXATIVE EC 5 MG TAB,70000044401,0.05122,0.05747,G,12.20,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METFORMIN HCL 850 MG TABLET,51224012070,0.02943,0.02979,G,1.22,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OLMESARTAN-HYDROCHLOROTHIAZIDE 40-12.5 MG TAB,70756081390,0.36707,0.35304,G,-3.82,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HALOPERIDOL 5 MG TABLET,51079073601,0.50635,0.49166,G,-2.90,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ARIPIPRAZOLE 5 MG TABLET,63739041310,0.17571,0.17023,G,-3.12,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TIZANIDINE HCL 4 MG TABLET,55111018010,0.05020,0.05575,G,11.06,Survey Rate,05/12/2021,05/19/2021,05/19/2021
RIVASTIGMINE 1.5 MG CAPSULE,51991079306,0.31234,0.35749,G,14.46,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OMEPRAZOLE DR 20 MG CAPSULE,55111015801,0.04013,0.03951,G,-1.54,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CHILD ACETAMINOPHEN 160 MG,70000031001,0.11185,0.12398,G,10.84,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LORAZEPAM 2 MG TABLET,00591024210,0.07206,0.07232,G,0.36,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROPINIROLE HCL 3 MG TABLET,68462025701,0.08459,0.08071,G,-4.59,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VALSARTAN-HYDROCHLOROTHIAZIDE 320-12.5 MG TAB,68180010102,0.63090,0.56689,G,-10.15,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ACEBUTOLOL 200 MG CAPSULE,50268005011,0.61481,0.58677,G,-4.56,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TOPIRAMATE 50 MG TABLET,68084034311,0.05074,0.05188,G,2.25,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ARIPIPRAZOLE 15 MG TABLET,62332010031,0.18567,0.18421,G,-0.79,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OMEPRAZOLE DR 40 MG CAPSULE,55111015905,0.06079,0.06227,G,2.43,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BUSPIRONE HCL 5 MG TABLET,75834026605,0.02823,0.02902,G,2.80,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROSUVASTATIN CALCIUM 5 MG TAB,16714098801,0.09230,0.08757,G,-5.12,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HALOPERIDOL DEC 500 MG/5 ML VL,70710146401,34.37844,27.61240,G,-19.68,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NYSTATIN-TRIAMCINOLONE OINTM,64380083653,0.34420,0.36656,G,6.50,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ZOLPIDEM TARTRATE 5 MG TABLET,13668000705,0.02884,0.02979,G,3.29,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ESTRADIOL 0.05 MG PATCH (2/WK),00781714483,7.44692,7.87408,G,5.74,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BETAMETHASONE DP 0.05% CRM,70710123301,1.08062,0.98069,G,-9.25,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LOSARTAN POTASSIUM 100 MG TAB,68382013716,0.12150,0.12040,G,-0.91,Survey Rate,05/12/2021,05/19/2021,05/19/2021
OLANZAPINE 15 MG TABLET,62756055583,0.15889,0.15867,G,-0.14,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FAMOTIDINE 20 MG TABLET,68001024000,0.04949,0.04903,G,-0.93,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DAPSONE 100 MG TABLET,70954013610,1.27231,1.04390,G,-17.95,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ROPINIROLE HCL 0.25 MG TABLET,43547026850,0.05857,0.06227,G,6.32,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ENOXAPARIN 40 MG/0.4 ML SYR,63323053587,12.48620,13.02392,G,4.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLUPHENAZINE 5 MG TABLET,70954027510,4.12463,4.27404,G,3.62,Survey Rate,05/12/2021,05/19/2021,05/19/2021
SERTRALINE HCL 50 MG TABLET,65862001230,0.04918,0.04807,G,-2.26,Survey Rate,05/12/2021,05/19/2021,05/19/2021
QUETIAPINE FUMARATE 300 MG TAB,00054022321,0.16832,0.17594,G,4.53,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FLECAINIDE ACETATE 50 MG TAB,00054001021,0.20577,0.20528,G,-0.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ENEMA,00536741551,0.00637,0.00610,G,-4.24,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DICLOFENAC POT 50 MG TABLET,00093094801,0.61518,0.53042,G,-13.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
GS ANTI-DIARRHEAL 2 MG CAPLET,00113022491,0.12658,0.12753,G,0.75,Survey Rate,05/12/2021,05/19/2021,05/19/2021
PREGABALIN 150 MG CAPSULE,69097095805,0.12198,0.11413,G,-6.44,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MONTELUKAST SOD 10 MG TABLET,33342010210,0.07605,0.07423,G,-2.39,Survey Rate,05/12/2021,05/19/2021,05/19/2021
TRIAMCINOLONE 0.1% OINTMENT,51672128408,0.06606,0.06661,G,0.83,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOMIPRAMINE 50 MG CAPSULE,52817028110,1.09568,1.64891,G,50.49,Survey Rate,05/12/2021,05/19/2021,05/19/2021
HM CHILD ALLERGY 12.5 MG/5 ML,62011028401,0.01403,0.01415,G,0.86,Survey Rate,05/12/2021,05/19/2021,05/19/2021
MEFLOQUINE HCL 250 MG TABLET,00555017188,4.01433,3.97217,G,-1.05,Survey Rate,05/12/2021,05/19/2021,05/19/2021
NASAL DECONGESTANT 30 MG TAB,70000000202,0.04732,0.05596,G,18.26,Survey Rate,05/12/2021,05/19/2021,05/19/2021
METRONIDAZOLE 500 MG TABLET,23155065205,0.14601,0.15960,G,9.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LILLOW-28 TABLET,69238155406,0.23248,0.22722,G,-2.26,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CHILD ALLERGY 5 MG/5 ML SOLN,70000012501,0.04332,0.04364,G,0.74,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALBUTEROL SUL 2.5 MG/3 ML SOLN,00591379760,0.04330,0.04350,G,0.46,Survey Rate,05/12/2021,05/19/2021,05/19/2021
INDAPAMIDE 1.25 MG TABLET,00378006901,0.15606,0.15966,G,2.31,Survey Rate,05/12/2021,05/19/2021,05/19/2021
AMLODIPINE-OLMESARTAN 10-40 MG,13668031130,0.52288,0.65653,G,25.56,Survey Rate,05/12/2021,05/19/2021,05/19/2021
VERAPAMIL 120 MG TABLET,00591034501,0.06642,0.07026,G,5.78,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENOFIBRATE 200 MG CAPSULE,27241012004,0.35730,0.31500,G,-11.84,Survey Rate,05/12/2021,05/19/2021,05/19/2021
DOXYCYCLINE HYCLATE 100 MG CAP,53489011905,0.17703,0.18004,G,1.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
QUETIAPINE FUMARATE 25 MG TAB,68180044501,0.03397,0.03331,G,-1.94,Survey Rate,05/12/2021,05/19/2021,05/19/2021
ALFUZOSIN HCL ER 10 MG TABLET,47335095681,0.14076,0.15408,G,9.46,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOBAZAM 10 MG TABLET,70710132501,0.40535,0.39847,G,-1.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
FENOFIBRATE 160 MG TABLET,42858066045,0.28019,0.26493,G,-5.45,Survey Rate,05/12/2021,05/19/2021,05/19/2021
URSODIOL 300 MG CAPSULE,71930001512,0.58243,0.60340,G,3.60,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CLOZAPINE 100 MG TABLET,51079092220,0.57706,0.58112,G,0.70,Survey Rate,05/12/2021,05/19/2021,05/19/2021
CARISOPRODOL 350 MG TABLET,62756044602,0.06188,0.06811,G,10.07,Survey Rate,05/12/2021,05/19/2021,05/19/2021
LITHIUM CARBONATE 300 MG TAB,00054852825,0.14415,0.14248,G,-1.16,Survey Rate,05/12/2021,05/19/2021,05/19/2021
BENAZEPRIL HCL 20 MG TABLET,65162075310,0.08627,0.08223,G,-4.68,Survey Rate,05/12/2021,05/19/2021,05/19/2021
